shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LINDENBERG,53.091824,12.120970,1,89
LINDENBERG,53.091709,12.120737,2,109
LINDENBERG,53.089320,12.115928,3,530
LINDENBERG,53.088235,12.114419,4,688
LINDENBERG,53.081220,12.108095,5,1580
LINDENBERG,53.081136,12.108069,6,1590
LINDENBERG,53.080283,12.107945,7,1686
LINDENBERG,53.079716,12.108078,8,1750
LINDENBERG,53.077018,12.112065,9,2163
LINDENBERG,53.072503,12.122559,10,3028
LINDENBERG,53.068244,12.133185,11,3885
LINDENBERG,53.068161,12.133336,12,3899
LINDENBERG,53.068045,12.133577,13,3920
LINDENBERG,53.067278,12.135014,14,4049
LINDENBERG,53.066986,12.135562,15,4098
LINDENBERG,53.037723,12.143682,16,7769
LINDENBERG,53.034227,12.133328,17,8564
LINDENBERG,53.033782,12.131990,18,8666
LINDENBERG,53.033421,12.130705,19,8761
MESENDORF,53.033782,12.131990,1,95
MESENDORF,53.034227,12.133328,2,197
MESENDORF,53.037723,12.143682,3,992
MESENDORF,53.066986,12.135562,4,4663
MESENDORF,53.067278,12.135014,5,4712
MESENDORF,53.068045,12.133577,6,4841
MESENDORF,53.068161,12.133336,7,4862
MESENDORF,53.068244,12.133185,8,4876
MESENDORF,53.072503,12.122559,9,5733
MESENDORF,53.077018,12.112065,10,6598
MESENDORF,53.079716,12.108078,11,7011
MESENDORF,53.080283,12.107945,12,7075
MESENDORF,53.081136,12.108069,13,7171
MESENDORF,53.081220,12.108095,14,7181
MESENDORF,53.088235,12.114419,15,8073
MESENDORF,53.089320,12.115928,16,8231
MESENDORF,53.091709,12.120737,17,8652
MESENDORF,53.091824,12.120970,18,8672
MESENDORF,53.092288,12.122050,19,8761
