shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LINDENBERG,53091824,12120970,1,89
LINDENBERG,53091709,12120737,2,109
LINDENBERG,53089320,12115928,3,530
LINDENBERG,53088235,12114419,4,688
LINDENBERG,53081220,12108095,5,1580
LINDENBERG,53081136,12108069,6,1590
LINDENBERG,53080283,12107945,7,1686
LINDENBERG,53079716,12108078,8,1750
LINDENBERG,53077018,12112065,9,2163
LINDENBERG,53072503,12122559,10,3028
LINDENBERG,53068244,12133185,11,3885
LINDENBERG,53068161,12133336,12,3899
LINDENBERG,53068045,12133577,13,3920
LINDENBERG,53067278,12135014,14,4049
LINDENBERG,53066986,12135562,15,4098
LINDENBERG,53037723,12143682,16,7769
LINDENBERG,53034227,12133328,17,8564
LINDENBERG,53033782,12131990,18,8666
LINDENBERG,53033421,12130705,19,8761
MESENDORF,53033782,12131990,1,95
MESENDORF,53034227,12133328,2,197
MESENDORF,53037723,12143682,3,992
MESENDORF,53066986,12135562,4,4663
MESENDORF,53067278,12135014,5,4712
MESENDORF,53068045,12133577,6,4841
MESENDORF,53068161,12133336,7,4862
MESENDORF,53068244,12133185,8,4876
MESENDORF,53072503,12122559,9,5733
MESENDORF,53077018,12112065,10,6598
MESENDORF,53079716,12108078,11,7011
MESENDORF,53080283,12107945,12,7075
MESENDORF,53081136,12108069,13,7171
MESENDORF,53081220,12108095,14,7181
MESENDORF,53088235,12114419,15,8073
MESENDORF,53089320,12115928,16,8231
MESENDORF,53091709,12120737,17,8652
MESENDORF,53091824,12120970,18,8672
MESENDORF,53092288,12122050,19,8761
