trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
T1,10:00:00,10:00:00,MESENDORF,1,0,1
T1,10:06:00,10:06:00,KLENZENHOF,2,3,3
T1,10:16:00,10:18:00,BRUENKENDORF,3,0,0
T1,10:32:00,10:32:00,VETTIN,4,3,3
T1,10:36:00,10:36:00,LINDENBERG,5,1,0
T2,11:00:00,11:00:00,LINDENBERG,1,0,1
T2,11:04:00,11:04:00,VETTIN,2,3,3
T2,11:18:00,11:20:00,BRUENKENDORF,3,0,0,
T2,11:30:00,11:30:00,KLENZENHOF,4,3,3
T2,11:36:00,11:36:00,MESENBERG,5,1,0
T3,12:00:00,12:00:00,MESENDORF,1,0,1
T3,12:06:00,12:06:00,KLENZENHOF,2,3,3
T3,12:16:00,12:18:00,BRUENKENDORF,3,0,0
T3,12:32:00,12:32:00,VETTIN,4,3,3
T3,12:36:00,12:36:00,LINDENBERG,5,1,0
T4,13:00:00,13:00:00,LINDENBERG,1,0,1
T4,13:04:00,13:04:00,VETTIN,2,3,3
T4,13:18:00,13:20:00,BRUENKENDORF,3,0,0
T4,13:30:00,13:30:00,KLENZENHOF,4,3,3
T4,13:36:00,13:36:00,MESENBERG,5,1,0
T5,14:00:00,14:00:00,MESENDORF,1,0,1
T5,14:06:00,14:06:00,KLENZENHOF,2,3,3
T5,14:16:00,14:18:00,BRUENKENDORF,3,0,0
T5,14:32:00,14:32:00,VETTIN,4,3,3
T5,14:36:00,14:36:00,LINDENBERG,5,1,0
T6,15:00:00,15:00:00,LINDENBERG,1,0,1
T6,15:04:00,15:04:00,VETTIN,2,3,3
T6,15:18:00,15:20:00,BRUENKENDORF,3,0,0
T6,15:30:00,15:30:00,KLENZENHOF,4,3,3
T6,15:36:00,15:36:00,MESENBERG,5,1,0
T7,16:00:00,16:00:00,MESENDORF,1,0,1
T7,16:06:00,16:06:00,KLENZENHOF,2,3,3
T7,16:16:00,16:18:00,BRUENKENDORF,3,0,0
T7,16:32:00,16:32:00,VETTIN,4,3,3
T7,16:36:00,16:36:00,LINDENBERG,5,1,0
T8,17:00:00,17:00:00,LINDENBERG,1,0,1
T8,17:04:00,17:04:00,VETTIN,2,3,3
T8,17:18:00,17:20:00,BRUENKENDORF,3,0,0
T8,17:30:00,17:30:00,KLENZENHOF,4,3,3
T8,17:36:00,17:36:00,MESENBERG,5,1,0

